,from,to,min,max,mean,stDev,sampleCount,noDataCount,name,month
160,2022-06-11T00:00:00Z,2022-06-12T00:00:00Z,7.005548104643822e-05,7.005548104643822e-05,7.005548104643822e-05,0.0,1,0,Amsterdam,6
161,2022-06-12T00:00:00Z,2022-06-13T00:00:00Z,3.209291389794089e-05,3.209291389794089e-05,3.209291389794089e-05,0.0,1,0,Amsterdam,6
162,2022-06-13T00:00:00Z,2022-06-14T00:00:00Z,,,,,1,1,Amsterdam,6
163,2022-06-14T00:00:00Z,2022-06-15T00:00:00Z,,,,,1,1,Amsterdam,6
164,2022-06-15T00:00:00Z,2022-06-16T00:00:00Z,5.9035399317508563e-05,5.9035399317508563e-05,5.9035399317508563e-05,0.0,1,0,Amsterdam,6
165,2022-06-16T00:00:00Z,2022-06-17T00:00:00Z,0.00013740468421019614,0.00013740468421019614,0.00013740468421019614,0.0,1,0,Amsterdam,6
166,2022-06-17T00:00:00Z,2022-06-18T00:00:00Z,0.00012158555182395503,0.00012158555182395503,0.00012158555182395503,0.0,1,0,Amsterdam,6
167,2022-06-18T00:00:00Z,2022-06-19T00:00:00Z,,,,,1,1,Amsterdam,6
168,2022-06-19T00:00:00Z,2022-06-20T00:00:00Z,4.966587948729284e-05,4.966587948729284e-05,4.966587948729284e-05,0.0,1,0,Amsterdam,6
169,2022-06-20T00:00:00Z,2022-06-21T00:00:00Z,5.495467848959379e-05,5.495467848959379e-05,5.495467848959379e-05,0.0,1,0,Amsterdam,6
170,2022-06-21T00:00:00Z,2022-06-22T00:00:00Z,,,,,1,1,Amsterdam,6
171,2022-06-22T00:00:00Z,2022-06-23T00:00:00Z,6.497096183011308e-05,6.497096183011308e-05,6.497096183011308e-05,0.0,1,0,Amsterdam,6
172,2022-06-23T00:00:00Z,2022-06-24T00:00:00Z,0.00010312247468391433,0.00010312247468391433,0.00010312247468391433,0.0,1,0,Amsterdam,6
173,2022-06-24T00:00:00Z,2022-06-25T00:00:00Z,,,,,1,1,Amsterdam,6
174,2022-06-25T00:00:00Z,2022-06-26T00:00:00Z,,,,,1,1,Amsterdam,6
175,2022-06-26T00:00:00Z,2022-06-27T00:00:00Z,,,,,1,1,Amsterdam,6
176,2022-06-27T00:00:00Z,2022-06-28T00:00:00Z,,,,,1,1,Amsterdam,6
177,2022-06-28T00:00:00Z,2022-06-29T00:00:00Z,,,,,1,1,Amsterdam,6
178,2022-06-29T00:00:00Z,2022-06-30T00:00:00Z,,,,,1,1,Amsterdam,6
179,2022-06-30T00:00:00Z,2022-07-01T00:00:00Z,,,,,1,1,Amsterdam,6
180,2022-07-01T00:00:00Z,2022-07-02T00:00:00Z,,,,,1,1,Amsterdam,7
181,2022-07-02T00:00:00Z,2022-07-03T00:00:00Z,,,,,1,1,Amsterdam,7
182,2022-07-03T00:00:00Z,2022-07-04T00:00:00Z,,,,,1,1,Amsterdam,7
183,2022-07-04T00:00:00Z,2022-07-05T00:00:00Z,3.396797183086164e-05,3.396797183086164e-05,3.396797183086164e-05,0.0,1,0,Amsterdam,7
184,2022-07-05T00:00:00Z,2022-07-06T00:00:00Z,,,,,1,1,Amsterdam,7
185,2022-07-06T00:00:00Z,2022-07-07T00:00:00Z,,,,,1,1,Amsterdam,7
186,2022-07-07T00:00:00Z,2022-07-08T00:00:00Z,,,,,1,1,Amsterdam,7
187,2022-07-08T00:00:00Z,2022-07-09T00:00:00Z,6.416608084691688e-05,6.416608084691688e-05,6.416608084691688e-05,0.0,1,0,Amsterdam,7
188,2022-07-09T00:00:00Z,2022-07-10T00:00:00Z,,,,,1,1,Amsterdam,7
189,2022-07-10T00:00:00Z,2022-07-11T00:00:00Z,,,,,1,1,Amsterdam,7
190,2022-07-11T00:00:00Z,2022-07-12T00:00:00Z,,,,,1,1,Amsterdam,7
191,2022-07-12T00:00:00Z,2022-07-13T00:00:00Z,,,,,1,1,Amsterdam,7
192,2022-07-13T00:00:00Z,2022-07-14T00:00:00Z,6.7074281105306e-05,6.7074281105306e-05,6.7074281105306e-05,0.0,1,0,Amsterdam,7
193,2022-07-14T00:00:00Z,2022-07-15T00:00:00Z,,,,,1,1,Amsterdam,7
194,2022-07-15T00:00:00Z,2022-07-16T00:00:00Z,,,,,1,1,Amsterdam,7
195,2022-07-16T00:00:00Z,2022-07-17T00:00:00Z,4.204524157103151e-05,4.204524157103151e-05,4.204524157103151e-05,0.0,1,0,Amsterdam,7
196,2022-07-17T00:00:00Z,2022-07-18T00:00:00Z,4.908701521344483e-05,4.908701521344483e-05,4.908701521344483e-05,0.0,1,0,Amsterdam,7
197,2022-07-18T00:00:00Z,2022-07-19T00:00:00Z,0.00010351113451179117,0.00010351113451179117,0.00010351113451179117,0.0,1,0,Amsterdam,7
198,2022-07-19T00:00:00Z,2022-07-20T00:00:00Z,5.654093183693476e-05,5.654093183693476e-05,5.654093183693476e-05,0.0,1,0,Amsterdam,7
